Year,County,Count
2001,Saint Lawrence,2098.910447761194
2001,Saratoga,6777.63779527559
2001,Schenectady,12983.28
2001,Schoharie,4709.7692307692305
2001,Schuyler,1731.16
2001,Seneca,6154.68
2001,Steuben,5364.817307692308
2001,Suffolk,16385.493902439026
2001,Sullivan,8454.95652173913
2001,Tioga,4737.685714285714
2001,Tompkins,9779.117647058823
2001,Ulster,15180.575757575758
2001,Warren,5150.823529411765
2001,Washington,2688.4565217391305
2001,Wayne,3283.82
2001,Westchester,34936.31034482759
2001,Wyoming,1990.7674418604652
2001,Yates,3476.5
2002,Albany,23889.08148148148
2002,Allegany,1313.1160714285713
2002,Bronx,34241.913043478264
2002,Broome,13323.685185185184
2002,Cattaraugus,2127.4718309859154
2002,Cayuga,5386.775510204082
2002,Chautauqua,5844.93388429752
2002,Chemung,7258.368098159509
2002,Chenango,1621.3971631205675
2002,Clinton,7306.0
2002,Columbia,6986.081632653061
2002,Cortland,4295.282608695652
2002,Delaware,1402.9391304347826
2002,Dutchess,13781.871287128713
2002,Erie,13533.061583577713
2002,Essex,2530.153846153846
2002,Franklin,2941.125
2002,Fulton,4237.276595744681
2002,Genesee,5891.859154929577
2002,Greene,8615.09090909091
2002,Hamilton,917.3333333333334
2002,Herkimer,3311.1932773109243
2002,Jefferson,7326.379310344828
2002,Kings,27364.8018018018
2002,Lewis,1924.9259259259259
2002,Livingston,4240.622950819672
2002,Madison,5512.044444444445
2002,Monroe,14200.710144927536
2002,Montgomery,5607.970370370371
2002,Nassau,28935.01724137931
2002,New York,31352.330827067668
2002,Niagara,7722.925619834711
2002,Oneida,7096.162790697675
2002,Onondaga,17959.4064171123
2002,Ontario,7694.569620253164
2002,Orange,15153.663636363637
2002,Orleans,2244.75
2002,Oswego,4880.851851851852
2002,Otsego,5504.65306122449
2002,Putnam,15710.52380952381
2002,Queens,33404.4450867052
2002,Rensselaer,22528.541666666668
2002,Richmond,23052.533333333333
2002,Rockland,26167.74193548387
2002,Saint Lawrence,3811.573529411765
2002,Saratoga,9949.266666666666
2002,Schenectady,13548.975609756097
2002,Schoharie,1948.0
2002,Schuyler,676.5384615384615
2002,Seneca,6961.37037037037
2002,Steuben,2512.5767441860467
2002,Suffolk,25612.372093023256
2002,Sullivan,3024.6710526315787
2002,Tioga,4635.726315789474
2002,Tompkins,6197.137931034483
2002,Ulster,11972.502762430939
2002,Warren,11305.34090909091
2002,Washington,3744.406976744186
2002,Wayne,3548.0697674418607
2002,Westchester,15665.031645569621
2002,Wyoming,2506.255319148936
2002,Yates,1229.8064516129032
2003,Albany,19671.5625
2003,Allegany,1461.7539682539682
2003,Bronx,35647.0
2003,Broome,6446.238095238095
2003,Cattaraugus,2670.768292682927
2003,Cayuga,8590.27536231884
2003,Chautauqua,4644.4055944055945
2003,Chemung,5384.08988764045
2003,Chenango,2041.1008403361345
2003,Clinton,6813.517857142857
2003,Columbia,16757.833333333332
2003,Cortland,3453.214285714286
2003,Delaware,1866.1935483870968
2003,Dutchess,13105.28125
