Year,County,type,Count
1978,Saint Lawrence,1,3.1768953068592056
1978,Saint Lawrence,2,0.0
1978,Saratoga,0,2965.976331360947
1978,Saratoga,1,39.56692913385827
1978,Saratoga,2,36.637362637362635
1978,Schenectady,0,4738.648648648648
1978,Schenectady,1,298.91089108910893
1978,Schenectady,2,0.7880434782608695
1978,Schoharie,0,681.6216216216217
1978,Schoharie,1,0.0
1978,Schoharie,2,0.0
1978,Schuyler,0,566.6666666666666
1978,Schuyler,1,0.0
1978,Schuyler,2,0.0
1978,Seneca,0,1825.531914893617
1978,Seneca,1,0.0
1978,Seneca,2,0.0
1978,Steuben,0,2378.91156462585
1978,Steuben,1,1.0784313725490196
1978,Steuben,2,60.17167381974249
1978,Suffolk,0,4117.146282973621
1978,Suffolk,1,132.92307692307693
1978,Suffolk,2,23.736737400530505
1978,Sullivan,0,640.1941747572815
1978,Sullivan,1,0.0
1978,Sullivan,2,0.0
1978,Tioga,0,1487.1951219512196
1978,Tioga,1,0.0
1978,Tioga,2,1.6494845360824741
1978,Tompkins,0,818.1188118811881
1978,Tompkins,1,12.965779467680608
1978,Tompkins,2,15.738636363636363
1978,Ulster,0,1597.3946360153257
1978,Ulster,1,9.834254143646408
1978,Ulster,2,0.0
1978,Warren,0,1969.8684210526317
1978,Warren,1,13.487179487179487
1978,Warren,2,9.879518072289157
1978,Washington,0,1081.764705882353
1978,Washington,1,17.259615384615383
1978,Washington,2,31.54228855721393
1978,Wayne,0,682.96875
1978,Wayne,1,0.0
1978,Wayne,2,0.0
1978,Westchester,0,3787.6890756302523
1978,Westchester,1,431.3145539906103
1978,Westchester,2,88.10881801125704
1978,Wyoming,0,403.13432835820896
1978,Wyoming,1,0.0
1978,Wyoming,2,0.0
1978,Yates,0,487.1794871794872
1978,Yates,1,6.956521739130435
1978,Yates,2,0.0
1979,Albany,0,3897.4740484429067
1979,Albany,1,25.555555555555557
1979,Albany,2,92.87810383747178
1979,Allegany,0,1286.7532467532467
1979,Allegany,1,2.1621621621621623
1979,Allegany,2,0.0
1979,Bronx,0,10509.74358974359
1979,Bronx,2,1332.4409448818897
1979,Broome,0,2372.1256038647343
1979,Broome,1,104.77272727272727
1979,Broome,2,99.65174129353234
1979,Cattaraugus,0,1596.7567567567567
1979,Cattaraugus,1,5.414847161572053
1979,Cattaraugus,2,4.23162583518931
1979,Cayuga,0,2129.8387096774195
1979,Cayuga,1,0.0
1979,Cayuga,2,35.45787545787546
1979,Chautauqua,0,1932.7044025157234
1979,Chautauqua,1,67.9136690647482
1979,Chautauqua,2,44.98159509202454
1979,Chemung,0,4353.5526315789475
1979,Chemung,1,654.3859649122807
1979,Chemung,2,44.93630573248408
1979,Chenango,0,1054.2391304347825
1979,Chenango,1,12.418300653594772
1979,Chenango,2,0.0
1979,Clinton,0,1968.0487804878048
1979,Clinton,1,77.29323308270676
1979,Clinton,2,75.33653846153847
1979,Columbia,0,1235.7303370786517
1979,Columbia,1,0.0
1979,Columbia,2,6.492537313432836
1979,Cortland,0,1871.4736842105262
1979,Cortland,1,0.0
1979,Cortland,2,7.4603174603174605
1979,Delaware,0,809.3827160493827
1979,Delaware,1,0.0
1979,Delaware,2,0.0
1979,Dutchess,0,2422.7748691099478
1979,Dutchess,1,265.9183673469388
1979,Dutchess,2,66.27937336814621
1979,Erie,0,4787.882736156352
1979,Erie,1,43.01745635910225
1979,Erie,2,7.0608108108108105
1979,Essex,0,1445.774647887324
1979,Essex,1,0.0
1979,Essex,2,0.0
1979,Franklin,0,1434.861111111111
1979,Franklin,1,0.0
1979,Franklin,2,0.0
1979,Fulton,0,1083.4545454545455
1979,Fulton,1,0.0
1979,Fulton,2,0.0
1979,Genesee,0,3168.4269662921347
1979,Genesee,1,25.17241379310345
1979,Genesee,2,52.90519877675841
1979,Greene,0,2133.134328358209
1979,Greene,1,0.0
1979,Greene,2,0.0
1979,Hamilton,0,89.5
1979,Hamilton,1,0.0
1979,Hamilton,2,0.0
1979,Herkimer,0,1118.6206896551723
1979,Herkimer,1,0.0
1979,Herkimer,2,2.9365079365079363
1979,Jefferson,0,1989.0950226244345
1979,Jefferson,1,2.36144578313253
1979,Jefferson,2,33.315363881401616
1979,Kings,0,7680.238095238095
1979,Kings,2,63.352675693101226
1979,Lewis,0,1771.4285714285713
1979,Lewis,1,0.0
1979,Lewis,2,0.0
1979,Livingston,0,1552.5471698113208
